label,neighbor
1,1544
11,58
11,97
11,294
11,360
11,401
11,464
11,499
11,503
11,610
11,656
11,805
11,1012
11,1141
11,1189
11,1269
11,1322
11,1373
11,1495
45,74
45,94
45,111
45,117
55,64
55,100
58,11
58,97
60,89
60,93
60,758
60,1347
64,55
64,81
64,100
64,187
64,238
64,679
65,80
65,100
65,685
67,81
67,187
67,238
67,583
67,656
67,754
67,765
67,1269
68,76
68,98
68,107
72,89
72,101
72,159
72,1112
74,45
74,111
76,68
76,84
76,107
76,120
79,83
79,102
79,118
79,384
80,65
80,95
80,685
80,1215
81,64
81,67
81,238
82,86
82,96
82,1486
83,79
83,86
83,118
84,76
84,97
84,99
84,120
84,399
84,771
86,82
86,83
86,118
86,730
86,827
86,1486
89,60
89,72
89,159
89,758
92,93
92,102
92,384
92,684
92,1318
92,1347
93,60
93,92
93,1347
94,45
94,101
94,117
94,121
94,185
95,80
95,96
95,420
95,730
95,1215
96,82
96,95
96,420
96,730
96,827
96,1486
97,11
97,58
97,84
97,99
97,399
97,805
97,1373
98,68
98,107
99,84
99,97
100,55
100,64
100,65
100,545
100,679
100,685
101,72
101,94
101,185
101,671
101,698
101,1025
101,1112
102,79
102,92
102,384
103,115
103,437
103,479
103,497
103,541
103,1381
104,160
104,219
104,352
104,425
104,461
104,1505
104,1525
104,1541
104,1547
105,197
105,434
105,479
105,497
105,550
105,703
105,759
105,1133
106,234
106,745
106,1118
106,1212
106,1306
106,1404
107,68
107,76
107,98
108,110
108,318
108,747
108,748
108,1010
108,1028
108,1103
108,1168
108,1199
108,1334
108,1443
108,1482
109,139
109,228
109,393
109,560
109,645
109,656
109,708
109,746
109,919
109,1197
109,1473
109,1511
110,108
110,318
110,494
110,1334
111,45
111,74
111,117
112,203
112,358
112,896
112,1054
112,1178
113,143
113,231
113,283
113,396
113,549
113,659
113,1452
113,1468
114,259
114,318
114,325
114,693
114,713
114,913
114,1143
114,1435
115,103
115,479
115,541
115,858
116,178
116,268
116,431
116,540
116,1524
117,45
117,94
117,111
117,121
118,79
118,83
118,86
118,125
118,161
118,381
118,384
118,411
118,562
118,586
118,639
118,730
118,914
118,1193
118,1280
118,1421
118,1459
120,76
120,84
