label,neighbor
1,1544
11,58
11,97
11,172
11,294
11,549
11,730
11,774
11,848
11,857
11,878
11,913
11,917
11,1213
11,1258
11,1303
11,1327
11,1360
11,1386
11,1478
45,74
45,94
45,111
45,117
55,64
55,100
58,11
58,97
60,89
60,93
60,1074
60,1163
64,55
64,100
64,671
64,1128
65,80
65,100
65,553
67,857
67,913
67,1128
67,1213
67,1478
68,76
68,98
68,107
72,89
72,101
72,595
74,45
74,111
76,68
76,84
76,107
76,120
79,83
79,102
79,628
79,644
80,65
80,95
80,191
80,553
81,1128
82,86
82,96
83,79
83,86
83,628
84,76
84,97
84,99
84,120
84,457
84,1194
86,82
86,83
86,96
86,577
86,581
86,628
86,695
89,60
89,72
89,595
89,1163
92,93
92,102
92,644
92,718
92,1074
92,1115
93,60
93,92
93,1074
94,45
94,101
94,117
94,121
94,185
95,80
95,96
95,191
95,546
95,695
95,700
96,82
96,86
96,95
96,695
97,11
97,58
97,84
97,99
97,201
97,457
97,730
97,1194
98,68
98,107
99,84
99,97
100,55
100,64
100,65
100,471
100,494
100,553
100,554
100,671
100,1027
101,72
101,94
101,130
101,185
101,391
101,595
102,79
102,92
102,644
103,177
103,492
103,494
103,1130
103,1165
104,109
104,212
104,1278
104,1314
104,1416
104,1467
104,1520
104,1529
105,180
105,182
105,186
105,273
105,411
105,503
105,883
105,1330
105,1486
106,330
106,403
106,885
106,1162
106,1372
106,1450
107,68
107,76
107,98
108,384
108,385
108,497
108,558
108,681
108,829
108,851
108,989
108,1143
108,1181
108,1355
108,1378
109,104
109,212
109,324
109,1400
109,1529
110,425
110,820
110,858
110,1164
111,45
111,74
111,117
112,152
112,695
112,1189
112,1215
112,1319
113,600
113,636
113,645
113,760
113,915
113,922
113,1116
113,1155
113,1300
113,1516
114,349
114,353
114,647
114,704
114,1060
114,1106
115,462
115,592
115,705
115,1175
115,1476
116,911
116,1174
116,1308
117,45
117,94
117,111
117,121
118,228
118,231
118,366
118,378
118,446
118,467
118,473
118,529
118,670
118,707
118,885
118,927
118,1089
118,1215
118,1404
120,76
120,84
120,193
120,201
120,361
120,457
121,94
121,117
123,600
123,746
123,911
123,915
123,1057
123,1272
123,1312
124,138
124,192
