label,neighbor
1,1544
11,58
11,67
11,97
11,178
11,628
11,651
11,656
11,883
11,884
11,1254
11,1261
11,1425
45,74
45,94
45,111
45,117
55,64
55,100
58,11
58,97
60,89
60,93
60,711
60,1326
64,55
64,81
64,100
64,427
64,1000
64,1277
65,80
65,100
65,314
67,11
67,202
67,656
67,884
67,906
67,913
68,76
68,98
68,107
72,89
72,101
72,378
72,819
72,857
74,45
74,111
76,68
76,84
76,107
76,120
79,83
79,102
79,340
79,472
79,717
80,65
80,95
80,314
80,638
80,1074
81,64
81,202
81,1277
82,86
82,96
82,339
82,964
83,79
83,86
83,717
84,76
84,97
84,99
84,120
84,1385
84,1436
86,82
86,83
86,219
86,279
86,340
86,717
86,762
86,964
89,60
89,72
89,378
89,711
92,93
92,102
92,381
92,585
92,749
92,791
93,60
93,92
93,585
93,1326
94,45
94,101
94,117
94,121
94,185
95,80
95,96
95,294
95,434
95,638
95,1074
96,82
96,95
96,279
96,339
96,434
96,771
96,964
97,11
97,58
97,84
97,99
97,1261
97,1385
97,1436
98,68
98,107
99,84
99,97
100,55
100,64
100,65
100,314
100,317
100,427
101,72
101,94
101,185
101,462
101,819
101,1215
102,79
102,92
102,381
102,472
102,791
103,730
103,843
103,916
103,1126
103,1186
103,1306
104,190
104,507
104,526
104,703
104,961
104,1291
104,1400
105,155
105,239
105,345
105,358
105,664
105,902
105,927
105,1505
105,1513
106,142
106,226
106,331
106,586
106,644
106,674
106,734
106,936
106,948
106,1058
106,1333
107,68
107,76
107,98
108,141
108,276
108,444
108,940
108,976
108,1338
109,353
109,641
109,816
109,1115
110,643
110,929
110,993
111,45
111,74
111,117
112,154
112,197
112,231
112,263
112,664
112,774
112,1268
112,1466
112,1483
113,224
113,354
113,571
113,763
113,798
113,829
113,1139
114,191
114,299
114,479
114,744
114,752
114,1016
114,1061
114,1093
114,1435
115,118
115,776
115,885
115,1077
115,1109
116,139
116,192
116,534
116,723
116,1055
117,45
117,94
117,111
117,121
118,115
118,269
118,476
118,603
118,878
118,885
118,914
118,1109
118,1388
118,1443
118,1448
118,1504
120,76
120,84
120,193
120,651
120,1011
120,1436
121,94
121,117
123,462
123,846
123,1010
123,1160
123,1259
