label,neighbor
2,1
2,3
2,230
3,2
3,4
3,5
3,56
3,60
3,74
3,84
3,230
4,3
4,5
5,3
5,4
5,6
5,9
5,44
5,74
5,256
5,294
5,373
5,435
5,471
6,5
6,7
6,9
6,44
7,6
7,8
7,9
8,7
8,9
9,5
9,6
9,7
9,8
9,10
9,11
9,12
9,13
9,44
9,373
10,9
11,9
11,12
12,9
12,11
12,13
13,9
13,12
13,14
13,15
13,185
13,242
13,373
13,440
13,581
14,13
15,13
15,16
15,177
15,303
15,437
15,440
15,499
15,582
16,15
16,17
16,18
16,372
16,499
17,16
18,16
18,19
18,20
18,86
18,227
18,372
18,432
18,517
18,571
19,18
19,20
20,18
20,19
20,21
20,22
20,480
20,571
21,20
21,22
22,20
22,21
22,23
22,480
23,22
23,24
23,158
23,246
23,313
23,480
23,571
24,23
24,25
24,158
24,200
24,204
24,313
25,24
25,26
25,27
25,28
25,29
25,313
25,503
26,25
26,27
27,25
27,26
27,28
28,25
28,27
28,29
29,25
29,28
29,30
29,34
29,61
29,69
29,97
29,305
29,395
29,495
29,503
29,595
30,29
30,31
30,32
30,33
30,34
31,30
32,30
33,30
33,34
34,29
34,30
34,33
34,38
35,85
35,176
35,231
35,287
35,320
35,438
35,599
36,61
36,98
36,116
36,163
36,181
36,208
36,334
36,386
36,492
36,540
37,160
37,177
37,322
37,498
38,34
39,272
39,300
39,327
39,513
39,544
39,598
40,53
40,105
40,195
40,278
41,288
41,366
41,561
42,470
42,607
42,609
43,218
43,248
43,453
44,5
44,6
44,9
45,1
46,67
46,136
46,167
46,192
46,363
46,565
47,228
47,284
47,447
48,63
48,115
48,123
48,135
48,356
49,52
49,71
49,261
49,269
49,352
49,376
49,391
49,410
49,414
49,457
49,469
49,477
49,529
49,556
49,561
49,588
50,78
50,188
50,394
50,484
51,57
51,344
51,491
51,507
52,49
52,226
52,261
52,561
53,40
53,153
53,175
53,195
53,278
53,507
54,261
54,424
55,63
55,214
55,467
55,567
56,1
56,3
56,60
57,51
57,63
57,103
57,214
57,344
57,491
57,592
58,72
58,132
58,279
58,351
58,415
60,1
60,3
60,56
60,230
61,29
61,36
61,112
61,124
61,163
61,305
61,334
61,395
61,503
61,595
62,143
62,214
62,229
62,467
62,531
63,48
63,55
63,57
63,103
63,106
63,115
63,123
63,135
63,144
63,214
63,215
63,231
63,243
63,258
63,286
63,357
63,361
63,364
63,422
63,484
63,491
63,534
63,567
63,592
64,215
64,361
64,484
65,108
65,148
65,154
65,353
65,360
65,366
65,368
65,378
65,519
66,202
66,354
66,389
67,46
67,72
67,96
67,164
67,191
67,304
67,310
67,318
67,363
67,501
67,565
68,202
68,389
68,463
68,470
69,29
70,191
70,311
71,49
71,352
71,469
71,479
72,58
72,67
72,87
72,132
72,182
72,265
72,309
72,318
72,351
72,363
72,384
72,388
72,402
72,496
72,539
72,554
72,584
73,85
73,290
73,320
74,3
74,5
74,84
74,119
74,140
74,186
74,187
74,193
74,212
74,347
74,351
74,421
74,435
74,510
75,201
75,315
76,104
76,428
76,477
76,535
77,160
77,291
77,303
77,337
77,445
77,533
77,579
78,50
78,111
78,148
78,151
78,184
78,234
78,262
78,282
78,349
78,394
78,403
78,441
78,484
78,545
78,574
79,80
79,122
79,203
79,205
79,351
79,525
80,79
80,205
80,351
80,536
80,541
80,551
82,177
82,340
83,111
83,173
83,365
83,468
84,3
84,74
85,35
85,73
85,113
85,266
85,290
85,292
85,320
85,329
85,370
85,438
86,18
86,121
86,177
86,227
86,432
86,499
87,72
87,129
87,222
87,265
87,363
88,416
88,449
88,543
89,211
89,277
89,288
89,298
89,555
90,134
90,138
90,254
91,354
91,523
92,380
92,441
93,214
93,453
94,290
94,404
96,67
96,191
96,239
96,244
96,501
97,29
97,107
97,595
98,36
98,116
98,133
98,159
98,181
98,380
98,492
99,127
99,312
99,434
99,590
100,111
100,215
101,279
101,309
101,618
102,535
102,553
103,57
103,63
103,491
104,76
104,198
104,276
104,308
104,367
104,407
104,448
104,477
104,479
104,518
104,535
104,538
104,547
105,40
105,195
105,277
105,278
105,555
106,63
106,243
106,592
107,97
107,112
107,595
108,65
108,148
108,378
108,394
108,519
109,201
109,239
109,244
109,354
109,389
110,351
110,402
110,554
111,78
111,83
111,100
111,137
111,151
111,173
111,215
