Label,Parent,Geometry/Area,Geometry/Perimeter,Lobeyness/Circularity,CellCenters(x),CellCenters(y)
2,0,3995,343.402,2.34897823490115,16.0490613266583,131.651314142678
3,0,50829,2204.761,7.61029701114514,236.600916799465,210.431190855614
4,0,3209,248.213,1.52781041477911,27.4636958554067,291.6880648177
5,0,72631,2438.014,6.51239152807571,242.643526868692,421.837879142515
6,0,5962,447.846,2.67704433387846,54.729620932573,421.79973163368
7,0,3002,229.439,1.39544887647399,28.5449700199867,466.467688207861
8,0,39,29.086,1.72620960392802,2.28205128205128,503.897435897436
9,0,38466,1560.826,5.03990198464846,100.453751364842,711.328627879166
10,0,4724,277.43,1.29654349563827,52.1162150719729,696.822396274344
11,0,835,142.255,1.9285848039125,8.17604790419162,801.099401197605
12,0,638,116.485,1.69242512982973,7.91379310344828,866.575235109718
13,0,58322,2511.71,8.60789016340925,145.013013956997,974.834436404787
14,0,4018,247.7,1.21515650676166,40.1936286709806,938.565206570433
15,0,46070,1863.341,5.99731146132228,176.728782287823,1182.19327110918
16,0,11771,952.987,6.13975058177999,26.2530796024127,1301.58040948093
17,0,525,122.232,2.26464779271807,5.22285714285714,1229.36952380952
18,0,30007,1274.711,4.30914417338006,154.234611923884,1544.90152297797
19,0,3221,287.941,2.04836066939561,33.785780813412,1540.99006519714
20,0,27803,1239.733,4.39900848482137,101.262597561414,1673.82383196058
21,0,15484,879.739,3.97754098932766,47.2233918884009,1771.86993025058
22,0,11980,739.416,3.63170869438468,72.25,1918.43138564274
23,0,29294,1519.595,6.27288275856779,149.820509319315,1956.10138594934
24,0,17678,1024.802,4.72755875478086,98.1107591356488,2152.80314515217
25,0,69714,2468.084,6.95328462484932,177.781435579654,2358.92764724446
26,0,451,82.428,1.19884522810921,7.96452328159645,2249.29711751663
27,0,6505,356.899,1.55823694589488,31.7514219830899,2316.04365872406
28,0,13322,810.131,3.92040747469875,81.2281939648701,2409.16101186008
29,0,59041,2531.992,8.64094199120871,167.044494503819,2700.34523466743
30,0,6144,386.557,1.93537895025482,31.3937174479167,2677.11100260417
31,0,203,51.068,1.02233162955606,6.56650246305419,2666.6354679803
32,0,184,48.736,1.02724036450783,6.35869565217391,2702.20652173913
33,0,263,63.424,1.21714310846107,7.00760456273764,2744.06844106464
34,0,18669,856.597,3.12767903056922,80.0711339653972,2807.84691199314
35,0,12883,986.523,6.0115651631277,326.294574245129,833.485601179849
36,0,24624,1477.386,7.05374072105872,1168.4684454191,1873.87317251462
37,0,17153,705.631,2.30996474972188,1350.03538739579,1758.60537515303
38,0,3074,236.576,1.44886406748941,54.0647364996747,2848.74495770982
39,0,2124,236.379,2.09340571588541,844.603107344633,703.318267419962
40,0,2606,195.021,1.16139107065245,2653.34804297774,534.042594013814
41,0,1245,129.205,1.0670368680397,1625.97751004016,431.55983935743
42,0,7922,442.135,1.96365455400861,2898.1343095178,775.746149962131
43,0,3009,241.069,1.53691794326261,2225.37919574609,2076.32436025258
44,0,367,85.795,1.59605564618627,1186.81198910082,1852.21798365123
45,0,772,107.76,1.19698305135927,75.0984455958549,14.5168393782383
46,0,3941,351.071,2.48870610845448,709.912712509515,233.667597056585
47,0,4391,321.009,1.8675021750495,983.80482805739,1747.57094056024
48,0,3125,269.088,1.84386353619108,2075.30752,775.29824
49,0,51553,2225.4,7.64455765336458,1503.62832424883,2198.32283281283
50,0,15068,614.46,1.99398440560499,2366.18781523759,1863.23221396337
51,0,4641,297.182,1.51434061297448,1358.8954966602,1037.79465632407
52,0,7874,512.016,2.649486984837,323.57048514097,1491.75336550673
53,0,7016,391.115,1.73504003447038,666.517388825542,158.417046750285
54,0,1131,128.387,1.15976402414513,2484.06100795756,1408.57913351017
55,0,1358,157.374,1.45129711860305,910.312960235641,302.383652430044
56,0,6542,462.962,2.60717562529416,198.948028125955,27.647661265668
57,0,9362,503.442,2.15437046857719,2418.83828241829,2349.42074343089
58,0,36666,1239.475,3.33428059550092,2599.74243168058,936.380952380952
60,0,13783,753.038,3.27401122674655,1924.34956105347,2599.90800261191
61,0,41880,1939.615,7.14849357399007,371.741809933142,1949.75816618911
62,0,2242,197.235,1.38077366903791,913.07091882248,449.486173059768
63,0,103492,3071.649,7.25481813781837,447.223263633904,2640.68500946933
64,0,463,86.945,1.29926688218236,1650.33045356371,884.133909287257
65,0,33295,1471.57,5.17574615129328,2444.74737948641,2252.97885568404
66,0,809,109.953,1.18920241092314,2386.2348578492,2324.4412855377
67,0,94083,3320.502,9.32580802500185,534.828534379218,549.163036892956
68,0,4455,328.377,1.92614017344751,554.736924803591,1169.84197530864
69,0,744,110.274,1.30065901888308,228.030913978495,2877.59677419355
