label,neighbor
2,1
2,3
2,145
3,2
3,4
3,5
3,56
3,74
3,84
3,145
3,410
4,3
4,5
5,3
5,4
5,6
5,74
5,108
5,206
5,214
5,235
5,354
5,406
5,416
6,5
6,7
6,235
7,6
7,8
7,235
8,7
8,9
8,235
8,416
9,8
9,10
9,11
9,12
9,13
9,108
9,154
9,328
9,401
9,416
9,495
10,9
11,9
11,12
12,9
12,11
12,13
13,9
13,12
13,14
13,15
13,231
13,233
13,399
13,495
14,13
15,13
15,16
15,36
15,181
15,233
15,376
15,592
16,15
16,17
16,18
16,376
16,458
17,16
18,16
18,19
18,20
18,36
18,166
18,181
18,331
18,458
18,554
19,18
19,20
20,18
20,19
20,21
20,22
20,23
20,309
20,331
21,20
21,22
22,20
22,21
22,23
23,20
23,22
23,24
23,309
23,346
23,371
24,23
24,25
24,346
25,24
25,26
25,27
25,28
25,29
25,79
25,276
25,288
25,346
25,440
25,480
26,25
26,27
27,25
27,26
27,28
28,25
28,27
28,29
29,25
29,28
29,30
29,34
29,69
29,97
29,179
29,281
29,288
29,326
29,360
29,394
29,412
30,29
30,31
30,32
30,33
30,34
31,30
32,30
33,30
33,34
34,29
34,30
34,33
34,38
35,98
35,192
35,206
35,231
35,351
35,401
35,455
36,15
36,18
36,116
36,166
36,181
36,269
36,294
36,373
36,592
37,290
37,435
37,530
38,34
39,351
39,442
39,471
40,112
40,360
40,394
41,67
41,253
41,457
42,205
42,214
42,224
42,344
43,228
43,320
43,545
44,46
44,492
45,1
46,44
46,68
46,228
46,320
46,492
47,277
47,491
48,159
48,177
48,449
49,143
49,264
49,313
49,316
49,372
49,402
49,434
49,442
49,453
50,74
50,193
50,214
51,61
51,187
51,209
51,470
52,63
52,168
53,133
53,149
53,294
53,296
53,307
53,318
53,408
53,431
54,96
54,468
54,561
55,322
55,366
55,380
56,1
56,3
56,410
57,308
57,309
57,346
57,597
58,78
58,83
58,104
58,273
58,279
58,357
58,403
58,503
58,547
59,87
59,164
59,617
60,163
60,266
60,602
61,51
61,93
61,156
61,187
61,209
61,212
61,228
61,246
61,456
61,518
62,201
62,334
62,543
63,52
63,134
63,150
63,157
63,162
63,165
63,168
63,265
63,287
63,300
63,308
63,309
63,320
63,324
63,356
63,377
63,382
63,421
63,510
63,533
63,591
64,233
64,592
65,67
65,89
65,196
65,253
65,315
65,337
65,521
65,531
65,600
66,173
66,282
66,565
67,41
67,65
67,89
67,96
67,153
67,160
67,194
67,253
67,259
67,275
67,278
67,311
67,335
67,407
67,450
67,457
67,529
67,537
67,613
67,614
68,46
68,320
68,377
68,492
68,533
69,29
70,143
70,593
71,191
71,279
71,441
71,547
72,85
72,128
72,129
72,151
72,187
72,291
72,363
72,453
72,469
72,472
72,484
72,537
72,595
73,163
73,375
73,504
74,3
74,5
74,50
74,84
74,119
74,140
74,186
74,193
74,214
75,207
75,245
75,294
75,463
76,188
76,193
76,214
76,219
76,224
76,327
77,279
77,441
78,58
78,104
78,115
78,257
78,297
78,370
78,379
78,467
78,503
78,513
79,25
79,288
79,391
79,440
80,101
80,159
80,303
80,332
80,433
80,449
80,519
81,101
81,175
81,290
82,205
82,434
83,58
83,357
83,503
84,3
84,74
85,72
85,92
85,110
85,180
85,340
85,342
85,396
85,453
85,467
85,484
86,221
86,450
86,484
87,59
87,164
87,232
87,295
87,617
88,161
88,361
88,367
88,477
88,517
89,65
89,67
89,160
89,315
90,174
90,501
91,402
91,434
92,85
92,180
92,484
93,61
93,228
94,109
94,415
94,564
96,54
96,67
96,125
96,142
96,196
96,253
96,259
96,457
96,468
96,513
96,514
96,561
97,29
97,107
97,360
98,35
98,192
98,351
98,354
98,378
98,505
99,176
99,388
99,517
100,216
100,320
100,373
101,80
101,81
101,159
101,160
101,175
101,290
101,303
101,380
102,134
102,265
103,279
103,403
104,58
104,78
104,136
104,191
104,254
104,273
104,280
104,297
104,342
104,404
104,423
104,453
104,496
104,547
105,249
105,307
106,134
106,239
106,266
107,97
107,112
107,360
108,5
108,9
108,206
108,319
108,393
108,401
108,416
109,94
109,247
109,277
109,283
109,390
109,392
109,415
109,562
109,564
109,573
110,85
110,396
110,453
111,114
111,144
111,173
111,184
111,198
111,262
111,270
111,353
111,366
111,368
111,436
111,478
111,587
111,606
112,40
112,107
112,124
